"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"52",34080,"Cmin","Cmin","i","i","Gmin7","Gmin7","Gmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"53",44100,"Fmaj","Fmaj","IV","IV","Cmin","Gmin7","Gmin7","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"54",44440,"Fmin7","Fmin7","iv7","iv","Fmaj","Cmin","Gmin7","Gmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"55",44480,"Fmin7","Fmin7","iv7","iv","Fmin7","Fmaj","Cmin","Gmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"56",45160,"Cmin","Cmin","i","i","Fmin7","Fmin7","Fmaj","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"57",45200,"Cmin","Cmin","i","i","Cmin","Fmin7","Fmin7","Fmaj","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"58",45520,"Cmin","Cmin","i","i","Cmin","Cmin","Fmin7","Fmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"59",45560,"Cmin","Cmin","i","i","Cmin","Cmin","Cmin","Fmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"60",1880,"Ddim","Ddim","iiº","iiº","Cmin","Cmin","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"61",2000,"Ddim","Ddim","iiº","iiº","Ddim","Cmin","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"62",2120,"Ddim","Ddim","iiº","iiº","Ddim","Ddim","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"63",2240,"Ddim","Ddim","iiº","iiº","Ddim","Ddim","Ddim","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"64",2320,"Ddim","Ddim","iiº","iiº","Ddim","Ddim","Ddim","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"65",2360,"Fmin","Fmin","iv","iv","Ddim","Ddim","Ddim","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"66",5400,"Gmin","Gmin","ii/IV","ii/IV","Fmin","Ddim","Ddim","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"67",5460,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Fmin","Ddim","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"68",5580,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Fmin","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"69",5610,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Fmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"70",5640,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"71",5720,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"72",4562,"Fmin7","Fmin7","iv7","iv","Gmin","Gmin","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"73",4802,"Gmin","Gmin","ii/IV","ii/IV","Fmin7","Gmin","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"74",4982,"Dmaj","Dmaj","V/V","V/V","Gmin","Fmin7","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"75",24722,"Fmin7","Fmin7","iv7","iv","Dmaj","Gmin","Fmin7","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"76",25502,"Gmin","Gmin","ii/IV","ii/IV","Fmin7","Dmaj","Gmin","Fmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"77",42482,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Fmin7","Dmaj","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"78",45122,"Cmin","Cmin","i","i","Gmin","Gmin","Fmin7","Dmaj","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"79",45162,"Cmin","Cmin","i","i","Cmin","Gmin","Gmin","Fmin7","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"80",45202,"Cmin","Cmin","i","i","Cmin","Cmin","Gmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"81",45482,"Cmin","Cmin","i","i","Cmin","Cmin","Cmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"82",45522,"Cmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"83",45562,"Cmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"84",5038,"Gmin","Gmin","ii/IV","ii/IV","Cmin","Cmin","Cmin","Cmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"85",3240,"Fmaj","Cmaj","I","I",NA,NA,NA,NA,"Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"86",3360,"Dmin","Amin","vi","vi","Cmaj",NA,NA,NA,"Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"87",3600,"Dmin","Amin","vi","vi","Amin","Cmaj",NA,NA,"Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"88",3840,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj",NA,"Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"89",4320,"Fmaj","Cmaj","I","I","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"90",4800,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"91",4980,"Dmin","Amin","vi","vi","Cmaj","Cmaj","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"92",5100,"Dmin","Amin","vi","vi","Amin","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"93",5280,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"94",5460,"Dmin","Amin","vi","vi","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"95",5580,"Dmin","Amin","vi","vi","Amin","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"96",5760,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"97",5940,"Fmaj","Cmaj","I","I","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"98",6000,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"99",7080,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"100",7200,"Dmin","Amin","vi","vi","Cmaj","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"101",7440,"Dmin","Amin","vi","vi","Amin","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"102",7680,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"103",8160,"Fmaj","Cmaj","I","I","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"104",8640,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"105",8820,"Dmin","Amin","vi","vi","Cmaj","Cmaj","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"106",8940,"Dmin","Amin","vi","vi","Amin","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"107",9120,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"108",9300,"Dmin","Amin","vi","vi","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"109",9420,"Dmin","Amin","vi","vi","Amin","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"110",9600,"Fmaj","Cmaj","I","I","Amin","Amin","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"111",9780,"Fmaj","Cmaj","I","I","Cmaj","Amin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"112",9840,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"113",10080,"Dmin","Amin","vi","vi","Cmaj","Cmaj","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"114",11520,"Fmaj","Cmaj","I","I","Amin","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"115",12480,"Dmin","Amin","vi","vi","Cmaj","Amin","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"116",14580,"Gmin","Dmin","ii","ii","Amin","Cmaj","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"117",14820,"Gmin","Dmin","ii","ii","Dmin","Amin","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"118",15060,"Gmin","Dmin","ii","ii","Dmin","Dmin","Amin","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"119",15300,"Gmin","Dmin","ii","ii","Dmin","Dmin","Dmin","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"120",20040,"Dmin","Amin","vi","vi","Dmin","Dmin","Dmin","Dmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"121",20160,"Fmaj","Cmaj","I","I","Amin","Dmin","Dmin","Dmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"122",20640,"Fmaj","Cmaj","I","I","Cmaj","Amin","Dmin","Dmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"123",21120,"Fmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Dmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"124",22560,"Cdom7","Gdom7","V7","V","Cmaj","Cmaj","Cmaj","Amin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"125",23040,"Fmin","Cmin","i","i","Gdom7","Cmaj","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"126",23160,"Fmin","Cmin","i","i","Cmin","Gdom7","Cmaj","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"127",23280,"Fmin","Cmin","i","i","Cmin","Cmin","Gdom7","Cmaj","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"128",23400,"Fmin","Cmin","i","i","Cmin","Cmin","Cmin","Gdom7","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"129",23520,"Fmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"130",23640,"Fmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"131",23760,"Fmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
"132",23880,"Fmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Dvorak","String Quartet 12, mvt. 1","Major","String Quartet"
